order	family	scientificName
	Conocephalidae	Conocephalus
	Dermaptera	Forficula auricularia
	Conocephalidae	Concephalus
	P	Anthocharis cethura
	Buprestida	Chrysobothris semisculpta
	Buprestida	Chrysobothris pseudotsugae
Poales	Poaceae	Cyrtopogon semitarius subsp. californicus
Poales	Poaceae	Cyrtopogon callipedilus subsp. nigritarsus
		Silpha noveboracensis
		Catocala myristic
		Catacola piatrix
		Bat. nigrotomella
	Gracilaridae	Lithocolletis memorabilis
	Gracilaridae	Phyllonorycter superimposita
	Gracilaridae	Cameraria conglomeratella
	Gracilaridae	Cameraria macrocarpella
	Gracilaridae	Cameraria agrifoliella
	Gracilaridae	Acrocercops
	Aegeriidae	Aegeria pacifica
	Aegeriidae	Aegeria pacifica californieum
	Aegeriidae	Synanthedon resplendens
	Aegeriidae	Synanthedon tipuliformis
	Aegeriidae	Vespamina sequoiae
	Aegeriidae	Melittia gloriosa
	Aegeriidae	Paranthrene robiniae
		Martyrhilda gracilis
		Pleurota albastriguelella
		Tinea niveocahitella
		Myrmecozela apachella
		Myrmecozela coloradella
		Amydria n.sp.
	Olethreutidae	Epinotia albangulana
	Olethreutidae	Epinotia subplicana
	Olethreutidae	Epinotia terracoctana
		Callipodud
	Hirudosomatidae	Octoglena sierrae
		uroblaniuline
		geophilomorph
		Siphonophorida
		Digrammia hypaethrata
		Sabulodes clositheata
		Cerma tricolor
	Family	Raphia frater subsp. coloradensis
	Family	Raphia frater subsp. cinderella
	Family	Raphia frater subsp. elbea
	Family	Acronicta dactylina sp.
	Family	Acronicta lepusculina subsp. lepusculina
	Family	Family
	Sphinigidae	Hemaris diffinis sp.
	Spingidae	Hyles euphorbiae subsp. euphorbiae
	Spingidae	Hyles lineata sp.
	Sesiiidae	Zenodoxus heucherae sp.
	Sesiiidae	Zenodoxus sidalceae sp.
	Sesiiidae	Paranthrene robiniae sp.
	Sesiiidae	Albuna pyramidalis sp.
	Sesiiidae	Melittia gloriosa sp.
	Sesiiidae	Sesia tibialis sp.
	Sesiiidae	Synanthedon albicornis sp.
	Sesiiidae	Synanthedon bibionipennis sp.
		Phyciodes m. mylitta
		Speyeria callippe lavra
		Speyeria zerene conchyliantus
		Speyeria corolis
		Antocharis sara
		Antocharis lanceolata
	Haliotididae	Haliotis kamtschatkana assimilis
	Haliotididae	Haliotis cracherodii
	Haliotididae	Haliotis rufescens
	Fissurellidae	Fissurella volcano
	Fissurellidae	Megathura crenulata
	Lottiidae	Lottia scabra
	Lottiidae	Testudinalia testudinalis
	Trochidae	Tegula regina
	Calliostomatidae	Calliostoma gemmulatum
	Trochidae	Tegula funebralis
	Turbinidae	Megastraea undosa
	Trochidae	Tegula aureotincta
	Trochidae	Norrisia norrisi
	Littorinidae	Littoraria intermedia
	Potamididae	Cerithidea hedgewischi californica
	Potamididae	Cerithidea californica
	Turritellidae	Turritella cooperi
	Calyptraeidae	Crucibulum spinosum
	Triviidae	Trivia solandri
	Triviidae	Pusula californica
	Cypraeidae	Cypraea spadicea
	Naticidae	Neverita reclusiana
	Naticidae	Sinum scopulosum
	Muricidae	Maxwellia santarosana
	Muricidae	Ocenebra circumtexta
	Muricidae	Ocenebra lurida
	Muricidae	Urosalpinx subangulata
	Muricidae	Ocenebra poulsoni
	Muricidae	Ocenebra
	Muricidae	Maxwellia gemma
	Muricidae	Pteropurpura trialata
	Muricidae	Pteropurpura festiva
	Muricidae	Shaskyus festivus
	Muricidae	Murex triolatus
	Buccinidae	Lirabuccinum dirum
	Buccinidae	Kelletia kelletii
	Nassariidae	Nassarius fossatus
	Nassariidae	Nassarius tiarula
	Olividae	Olivella biplicata
	Olividae	Oliva spicata spicata
		Burchia redonoddensis
	Conidae	Conus californicus
		Chlorostoma aureotinctum
		Undetermined
	Ranellidae	Ranella californica
		Cerostoma nuttalli
	Muricidae	Ceratostoma nuttalli
	Muricidae	Murex poulsoni
	Fissurellidae	Fissurella crenulata
	Acmaeidae	Acmaea paleacea
	Lottiidae	Lottia asmi
	Acmaeidae	Acmaea instabilis
	Acmaeidae	Notoacmea insessa
	Calyptraeidae	Crepidula onyx
	Turbinidae	Phasianella compta
	Turbinidae	Lithopoma? gibberosa?
	Calyptraeidae	Crepidula adunca
	Epitoniidae	Opalia wroblewskii
	Littorinidae	Littorina keenae
	Littorinidae	Littorina scutulata
	Acmaeidae	Tectura persona
	Acmaeidae	Acmaea spectrum
	Mitridae	Mitra montereyi
	Bullidae	Bulla gouldiana
	Terebridae	Terebra pedroana
	Acteonidae	Acteon punctocaelatus
	Ellobiidae	Melampus olivaceus
	Haminoeidae	Haminoea virescens
	Veneridae	Amiantis callosa
	Muricidae	Thais emarginata
	Muricidae	Acanthina spirata
	Muricidae	Nucella freycinetii
	Muricidae	Mexacanthina lugubris
	Lasaeidae	Kellia suborbicularis
	Veneridae	Transennella tantilla
	Psammobiidae	Gari californica
	Lyonsiidae	Entodesma saxicola
	Petricolidae	Petricola carditoides
	Pectinidae	Undetermined
	Veneridae	Saxidomus nuttalli
	Cardiidae	Laevicardium substriatum
	Pectinidae	Hinnites multirugosus
	Tellinidae	Apolymetis biangulata
	Lyonsiidae	Mytilimeria nuttalli
	Chamidae	Chama pellucida
	Lucinidae	Epilucina californica
	Cardiidae	Clinocardium nuttallii
	Ostreoida?	Undetermined
	Mactridae	Schizothaerus nuttalli
	Tellinidae	Macoma secta
	Mopaliidae	Mopalia hindsii
	Tellinidae	Macoma nasuta
	Carditidae	Cardita redondoensis
	Donacidae	Donax californicus
	Veneridae	Protothaca staminea
	Mactridae	Lutraria alta
	Mactridae	Mactrellona alata
	Veneridae	Tapes staminea
	Pectinidae	Pecten aequisulcatus
	Lucinidae	Phacoides californicus
	Pectinidae	Crassadoma gigantea
	Veneridae	Chione succincta
	Veneridae	Tivela craisatelloides
	Veneridae	Saxidomus aratus
